year,city,country,rio_avg_temp,year,global_avg_temp
1832,Rio De Janeiro,Brazil,23.05,1832,7.45
1833,Rio De Janeiro,Brazil,24.11,1833,8.01
1834,Rio De Janeiro,Brazil,23.27,1834,8.15
1835,Rio De Janeiro,Brazil,22.73,1835,7.39
1836,Rio De Janeiro,Brazil,22.91,1836,7.70
1837,Rio De Janeiro,Brazil,22.29,1837,7.38
1838,Rio De Janeiro,Brazil,22.81,1838,7.51
1839,Rio De Janeiro,Brazil,22.54,1839,7.63
1840,Rio De Janeiro,Brazil,23.32,1840,7.80
1841,Rio De Janeiro,Brazil,22.97,1841,7.69
1842,Rio De Janeiro,Brazil,23.41,1842,8.02
1843,Rio De Janeiro,Brazil,23.55,1843,8.17
1844,Rio De Janeiro,Brazil,,1844,7.65
1845,Rio De Janeiro,Brazil,,1845,7.85
1846,Rio De Janeiro,Brazil,,1846,8.55
1847,Rio De Janeiro,Brazil,,1847,8.09
1848,Rio De Janeiro,Brazil,,1848,7.98
1849,Rio De Janeiro,Brazil,,1849,7.98
1850,Rio De Janeiro,Brazil,,1850,7.90
1851,Rio De Janeiro,Brazil,23.53,1851,8.18
1852,Rio De Janeiro,Brazil,23.74,1852,8.10
1853,Rio De Janeiro,Brazil,23.76,1853,8.04
1854,Rio De Janeiro,Brazil,23.83,1854,8.21
1855,Rio De Janeiro,Brazil,23.89,1855,8.11
1856,Rio De Janeiro,Brazil,22.83,1856,8.00
1857,Rio De Janeiro,Brazil,23.46,1857,7.76
1858,Rio De Janeiro,Brazil,22.37,1858,8.10
1859,Rio De Janeiro,Brazil,23.04,1859,8.25
1860,Rio De Janeiro,Brazil,23.91,1860,7.96
1861,Rio De Janeiro,Brazil,23.04,1861,7.85
1862,Rio De Janeiro,Brazil,23.04,1862,7.56
1863,Rio De Janeiro,Brazil,22.95,1863,8.11
1864,Rio De Janeiro,Brazil,23.02,1864,7.98
1865,Rio De Janeiro,Brazil,22.89,1865,8.18
1866,Rio De Janeiro,Brazil,23.10,1866,8.29
1867,Rio De Janeiro,Brazil,23.26,1867,8.44
1868,Rio De Janeiro,Brazil,24.32,1868,8.25
1869,Rio De Janeiro,Brazil,24.20,1869,8.43
1870,Rio De Janeiro,Brazil,24.22,1870,8.20
1871,Rio De Janeiro,Brazil,23.84,1871,8.12
1872,Rio De Janeiro,Brazil,23.75,1872,8.19
1873,Rio De Janeiro,Brazil,23.94,1873,8.35
1874,Rio De Janeiro,Brazil,23.23,1874,8.43
1875,Rio De Janeiro,Brazil,22.85,1875,7.86
1876,Rio De Janeiro,Brazil,23.05,1876,8.08
1877,Rio De Janeiro,Brazil,23.80,1877,8.54
1878,Rio De Janeiro,Brazil,24.30,1878,8.83
1879,Rio De Janeiro,Brazil,22.84,1879,8.17
1880,Rio De Janeiro,Brazil,24.01,1880,8.12
1881,Rio De Janeiro,Brazil,23.29,1881,8.27
1882,Rio De Janeiro,Brazil,22.65,1882,8.13
1883,Rio De Janeiro,Brazil,22.98,1883,7.98
1884,Rio De Janeiro,Brazil,22.85,1884,7.77
1885,Rio De Janeiro,Brazil,23.75,1885,7.92
1886,Rio De Janeiro,Brazil,22.94,1886,7.95
1887,Rio De Janeiro,Brazil,23.49,1887,7.91
1888,Rio De Janeiro,Brazil,23.82,1888,8.09
1889,Rio De Janeiro,Brazil,24.17,1889,8.32
1890,Rio De Janeiro,Brazil,23.38,1890,7.97
1891,Rio De Janeiro,Brazil,23.55,1891,8.02
1892,Rio De Janeiro,Brazil,23.40,1892,8.07
1893,Rio De Janeiro,Brazil,22.68,1893,8.06
1894,Rio De Janeiro,Brazil,23.62,1894,8.16
1895,Rio De Janeiro,Brazil,23.36,1895,8.15
1896,Rio De Janeiro,Brazil,23.35,1896,8.21
1897,Rio De Janeiro,Brazil,23.31,1897,8.29
1898,Rio De Janeiro,Brazil,23.54,1898,8.18
1899,Rio De Janeiro,Brazil,23.95,1899,8.40
1900,Rio De Janeiro,Brazil,23.48,1900,8.50
1901,Rio De Janeiro,Brazil,23.07,1901,8.54
1902,Rio De Janeiro,Brazil,23.99,1902,8.30
1903,Rio De Janeiro,Brazil,23.73,1903,8.22
1904,Rio De Janeiro,Brazil,23.17,1904,8.09
1905,Rio De Janeiro,Brazil,23.84,1905,8.23
1906,Rio De Janeiro,Brazil,23.74,1906,8.38
1907,Rio De Janeiro,Brazil,23.36,1907,7.95
1908,Rio De Janeiro,Brazil,23.57,1908,8.19
1909,Rio De Janeiro,Brazil,23.33,1909,8.18
1910,Rio De Janeiro,Brazil,23.31,1910,8.22
