year,city,country,warsaw_avg_temp,year,global_avg_temp
1750,Warsaw,Poland,8.27,1750,8.72
1751,Warsaw,Poland,8.23,1751,7.98
1752,Warsaw,Poland,2.58,1752,5.78
1753,Warsaw,Poland,7.17,1753,8.39
1754,Warsaw,Poland,7.08,1754,8.47
1755,Warsaw,Poland,6.91,1755,8.36
1756,Warsaw,Poland,7.88,1756,8.85
1757,Warsaw,Poland,7.69,1757,9.02
1758,Warsaw,Poland,6.26,1758,6.74
1759,Warsaw,Poland,7.33,1759,7.99
1760,Warsaw,Poland,6.90,1760,7.19
1761,Warsaw,Poland,7.80,1761,8.77
1762,Warsaw,Poland,7.21,1762,8.61
1763,Warsaw,Poland,6.74,1763,7.50
1764,Warsaw,Poland,7.59,1764,8.40
1765,Warsaw,Poland,7.32,1765,8.25
1766,Warsaw,Poland,7.44,1766,8.41
1767,Warsaw,Poland,6.76,1767,8.22
1768,Warsaw,Poland,6.22,1768,6.78
1769,Warsaw,Poland,7.01,1769,7.69
1770,Warsaw,Poland,7.12,1770,7.69
1771,Warsaw,Poland,6.12,1771,7.85
1772,Warsaw,Poland,7.66,1772,8.19
1773,Warsaw,Poland,8.13,1773,8.22
1774,Warsaw,Poland,7.25,1774,8.77
1775,Warsaw,Poland,8.60,1775,9.18
1776,Warsaw,Poland,7.06,1776,8.30
1777,Warsaw,Poland,6.84,1777,8.26
1778,Warsaw,Poland,8.00,1778,8.54
1779,Warsaw,Poland,8.67,1779,8.98
1780,Warsaw,Poland,7.00,1780,9.43
1781,Warsaw,Poland,8.08,1781,8.10
1782,Warsaw,Poland,6.77,1782,7.90
1783,Warsaw,Poland,7.99,1783,7.68
1784,Warsaw,Poland,6.88,1784,7.86
1785,Warsaw,Poland,5.64,1785,7.36
1786,Warsaw,Poland,6.16,1786,8.26
1787,Warsaw,Poland,7.69,1787,8.03
1788,Warsaw,Poland,6.74,1788,8.45
1789,Warsaw,Poland,8.16,1789,8.33
1790,Warsaw,Poland,7.67,1790,7.98
1791,Warsaw,Poland,8.34,1791,8.23
1792,Warsaw,Poland,7.27,1792,8.09
1793,Warsaw,Poland,7.59,1793,8.23
